STP,2019 CCG code,2019 CCG name,Status,2019 ward name,2019 ward code,IMD: % of population living in areas rated as among the nation's most deprived,Income: % of population living in areas rated as among the nation's most deprived,Employment: % of population living in areas rated as among the nation's most deprived,Education: % of population living in areas rated as among the nation's most deprived,Health Deprivation & Disability: % of population living in areas rated as among the nation's most deprived,Crime: % of population living in areas rated as among the nation's most deprived,Barriers to Housing & Services: % of population living in areas rated as among the nation's most deprived,Living Environment: % of population living in areas rated as among the nation's most deprived,Cheek by jowl?,Digital Vulnerability decile,Financial Vulnerability decile,No. people living alone,Capacity decile,Proportion of urban LSOAs,RUC,Classification
Healthier Lancashire and South Cumbria,00Q,NHS Blackburn with Darwen CCG,Priority,Wensley Fold,E05011523,0.8392815148909285,0.7816728383145258,0.8221178989487723,0.5726987943349537,0.9737778089772615,0.19312665625383896,0,0.9823596169483394,No,3,1,898,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Priority,Bloomfield,E05001645,1,1,1,1,1,1,0,1,No,6,1,1197,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Priority,Claremont,E05001647,1,1,1,1,1,0.9424229373265307,0,0.951931076116645,No,7,1,1373,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Priority,Park,E05001656,0.6429318003658218,0.6429318003658218,0.6615175415675326,0.6429318003658218,0.8334317797367733,0.6429318003658218,0,0,No,5,1,1114,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Priority,Talbot,E05001659,0.9093579733752739,0.859310228613155,0.8292815817558838,0.6308062044117765,1,0.9193675223276976,0,1,No,8,1,1175,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Priority,Tyldesley,E05001660,0.6904372182767454,0.4912479326782761,0.5536291630184519,0.4439220741317248,1,0.742469273924182,0,0.9041026202289457,No,8,1,802,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Exemplar,Anchorsholme,E05001643,0.21792618997693433,0.12869993709373032,0.440084294401342,0.026083875026210936,0.9375172992241559,0,0,0.29304885720276785,No,6,2,1035,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Exemplar,Bispham,E05001644,0.34791988248767614,0.10394529369782068,0.4060054938671181,0.010911384421318181,0.8885981510066557,0.024104134508456564,0,0.5385139172434397,No,8,2,883,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Exemplar,Squires Gate,E05001657,0.30898033789439516,0.1273941304087873,0.33400425357454006,0.08130178171817078,0.8692939749568663,0.035209433027554256,0,0.5932536428705649,No,8,2,696,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,00R,NHS Blackpool CCG,Exemplar,Highfield,E05001651,0.2598735305178136,0.2214973594283939,0.23475458216837525,0.2402196661271071,0.7680327332777422,0.1474706103562728,0,0.4784552247347165,No,7,1,792,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Bank Hall,E05005150,1,0.9269872929600174,0.9269872929600174,0.8787587158326893,1,1,0,0.9028730043963532,No,2,1,1005,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Barnfield,E05005207,0.5962851095202987,0.6425190857849549,0.674241919756463,0.33140533212833256,0.9057542749780009,0.6741979213737008,0,0.47299450614788213,No,4,1,737,3,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Bradley,E05005253,1,0.9749937316222561,0.9730961227234391,1,0.9600077499943015,0.33794420004102926,0,0.7730619315721091,No,1,1,778,4,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Central,E05005209,1,1,1,1,1,0.4293858410499561,0,1,No,2,1,439,3,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Church,E05005210,0.9176413255360624,0.8850598719019772,0.722152603731551,0.7727213868003341,0.9013505987190197,0.7245941241993874,0,0.6611111111111111,No,2,1,678,3,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Daneshouse with Stoneyholme,E05005155,1,1,0.986508508797231,1,0.9098200324867548,0.591472985897105,0,1,No,3,1,444,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Rosegrove with Lowerhouse,E05005161,0.7249516297068016,0.5630078880785832,0.6128367316564964,0.700037207917845,0.7505581187676738,0.7505581187676738,0,0.3184433773822859,No,4,1,789,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Spring Hill,E05005221,1,0.9797297297297297,1,1,1,0.7794136241504662,0,0.6906906906906907,No,2,1,593,3,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Trinity,E05005163,1,0.9032359607151851,0.9873205741626794,0.7524217241668766,1,1,0,1,No,6,1,883,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Priority,Worsley,E05005329,0.44433011643853115,0.5304043406785292,0.44433011643853115,0.23970110987129578,0.5494774320491307,0.2860823161642575,0,0.6178009556988441,No,3,1,884,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01A,NHS East Lancashire CCG,Exemplar,Stacksteads,E05005327,0.7095662631175846,0.7464258360990554,0.8699676175375891,0.45235948564287914,0.7226146486973113,0.42869341467019595,0,0.5008169517487873,No,4,1,593,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01E,NHS Greater Preston CCG,Priority,Lea & Larches,E05012202,0.3893498145214392,0.21452926258418245,0.36803901243260506,0.2232757665251944,0.703690990761929,0.581491260667462,0,0.4177798640041203,No,6,1,1058,7,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01E,NHS Greater Preston CCG,Exemplar,Plungington,E05012203,0.5228652775869176,0.18209426961660016,0.039649323210114044,0.4788857444688745,0.7349583877284595,0.7732176291741102,0,0.8603730074206404,No,6,1,1549,7,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01K,NHS Morecambe Bay CCG,Priority,Central,E05003146,1,1,1,1,1,0.961092246745897,0,0.9228919071873231,No,3,1,730,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,01K,NHS Morecambe Bay CCG,Priority,Hindpool,E05003150,0.928548710352039,0.8217859010108051,0.9196788950853957,0.7571658243290345,1,0.532123997908679,0,0.8535901010805159,No,3,1,1246,2,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,02G,NHS West Lancashire CCG,Priority,Birch Green,E05005360,0.8173308356723807,0.8930942887087253,0.9697353362807338,0.9225409885436869,0.692211273204756,0.03026466371926611,0.11145450602932139,0,No,7,1,460,4,1,Urban,Urban conurbation
Healthier Lancashire and South Cumbria,02G,NHS West Lancashire CCG,Priority,Moorside,E05005368,0.7211178058869692,0.7382267267866406,0.8523562507481743,0.7700304590133408,0.3729839192370615,0.9175731215833366,0,0,No,6,1,412,4,1,Urban,Urban conurbation
Healthier Lancashire and South Cumbria,02G,NHS West Lancashire CCG,Priority,Skelmersdale North,E05005374,0.46714278321171654,0.5888358432955545,0.6182522123893806,0.5405242457175387,0.3865535889872173,0,0.316138151425762,0,No,3,1,449,4,1,Urban,Urban conurbation
Healthier Lancashire and South Cumbria,02G,NHS West Lancashire CCG,Priority,Tanhouse,E05005376,0.8191780619773734,0.8911072306935562,0.9270718150516477,0.7149818002951303,0.44567388096409244,0.2981500245941957,0.5130329562223315,0,No,7,1,563,4,1,Urban,Urban conurbation
Healthier Lancashire and South Cumbria,02M,NHS Fylde and Wyre CCG,Exemplar,Central,E05005187,0.43758234519104083,0.3703886693017127,0.6359966946351385,0.1066332663014585,0.6527951136074706,0,0,1,No,7,3,1076,8,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,02M,NHS Fylde and Wyre CCG,Exemplar,Park,E05009945,0.7144566477569407,0.7144566477569407,0.8172696538723638,0.727455683095413,0.7767941376899453,0.4931832060393121,0,0,No,2,1,576,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,02M,NHS Fylde and Wyre CCG,Exemplar,Jubilee,E05009942,0.34265294746132763,0.35680122636688805,0.5864760533283783,0.20052631578947366,0.6780271287220699,0.14925907000510985,0,0.20235518186463508,No,1,4,815,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,02M,NHS Fylde and Wyre CCG,Exemplar,Pharos,E05009946,0.9764317904181166,0.8961724821122438,0.9535005594735816,0.8015172512908955,1,1,0,1,No,2,1,926,5,1,Urban,Urban city and town
Healthier Lancashire and South Cumbria,02M,NHS Fylde and Wyre CCG,Exemplar,Rossall,E05009950,0.4637218944346994,0.4637218944346994,0.4996579912546475,0.4637218944346994,0.5549828366163375,0.2381757295487163,0,0,No,1,3,790,5,1,Urban,Urban city and town
Cumbria and North East,00C,NHS Darlington CCG,Priority,North Road,E05010423,0.6572945205479452,0.6221575342465753,0.6338698630136986,0.5954578226387887,0.7633561643835617,0.7633561643835617,0,0,No,1,2,1179,3,1,Urban,Urban city and town
Cumbria and North East,00D,"NHS Durham Dales, Easington and Sedgefield CCG",Priority,Crook,E05009053,0.34838080111398795,0.43727399316812077,0.6050619003067818,0.24080981701877674,0.530572659428646,0.07181458192815646,0.006337329474989656,0,No,1,2,1886,7,0,Rural,Rural town and fringe
Cumbria and North East,00D,"NHS Durham Dales, Easington and Sedgefield CCG",Exemplar,Murton,E05009069,0.4200946302530839,0.3775461127503867,0.48813027258192404,0.4880880269332259,0.5942308692204703,0.6435822360296889,0,0,No,1,1,1232,7,0,Rural,Rural town and fringe
Cumbria and North East,00D,"NHS Durham Dales, Easington and Sedgefield CCG",Exemplar,Tow Law,E05009085,0.34438001784121314,0.4243978590544156,0.7628010704727921,0.2310660124888492,0.6683318465655664,0.28673059768064224,0,0,No,1,2,689,7,0,Rural,Rural town and fringe
Cumbria and North East,00D,"NHS Durham Dales, Easington and Sedgefield CCG",Exemplar,Dawdon,E05009054,0.50945709649023,0.5590244384427903,0.6794653604086448,0.380642369948081,0.7647049841009396,0.3042690923462941,0,0,No,2,1,1231,7,1,Urban,Urban city and town
Cumbria and North East,00J,NHS North Durham CCG,Priority,Chester-Le-Street West Central,E05009046,0.6232894243359367,0.6643925885472526,0.7090991637112534,0.5905244734539186,0.8091764760068693,0.37302787848481056,0,0,No,1,2,1312,7,1,Urban,Urban conurbation
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Billingham Central,E05001527,0.3820297087153301,0.5513950391820329,0.7276085217104499,0.4051132095063002,0.7315004611447383,0,0,0,No,1,1,1086,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Billingham East,E05001528,0.7225529510914361,0.8003861933559924,0.7897339248173222,0.8409073228557934,0.8380192077942524,0.3721667577354436,0,0,No,1,1,864,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Burn Valley,E05008942,0.5960520458725268,0.5378984267925545,0.6396672601825062,0.39155616338866306,0.6473403071444469,0.7256258273103189,0,0.04538316914030009,No,3,2,1255,6,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,De Bruce,E05008943,0.7500517736161652,0.8304458447974912,0.8546374367622259,0.5752495488299162,0.736294784177983,0.4347593266471406,0,0,No,1,1,1118,6,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Foggy Furze,E05008945,0.531336616943428,0.6212758232479594,0.6628564593301435,0.39994933858710946,0.557343653250774,0.7370985083028426,0,0,No,2,2,1175,6,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Hardwick and Salters Lane,E05001536,0.9449661013114531,0.9631424348232668,0.9741615824918363,0.8722607672641985,0.9813187683350805,0.15366626194372585,0,0,No,1,1,1071,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Headland and Harbour,E05008947,0.8304155853971933,0.9000170063742411,0.9497323070721322,0.6781134262175305,0.9099600665138192,0.574557204404021,0.05220075079992944,0,No,1,1,1751,6,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Jesmond,E05008948,0.8175410732083722,0.8767675143876796,0.9028039095907147,0.5307764524322413,0.7916374626241841,0.9743166254059094,0,0,No,2,1,1333,6,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Mandala and Victoria,E05001540,0.4710148818656029,0.48327364706642334,0.535328281197009,0.5506058122446342,0.9100799809434602,0.41265766056749725,0,0,No,1,1,1756,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Manor House,E05008949,0.9412661298745691,0.9763117540378097,0.9879936287588899,0.9383352165367415,0.9134591281559482,0.5872242847783359,0,0,No,1,1,1583,6,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Newtown,E05001541,0.9066260494192552,0.8981801644421024,0.9404095893278663,0.7964115816904763,0.9535068469417955,0.7517054190819251,0,0,No,2,1,901,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Norton North,E05001543,0.4353595078431208,0.4705700425517629,0.5716065598536286,0.44712041225692195,0.737604176283477,0.15352919453793146,0,0,No,2,1,1039,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Norton South,E05001544,0.5774456271382155,0.6016909176898366,0.5993163852565244,0.520873282517766,0.7010112953055997,0.30661503215384706,0,0,No,3,1,1050,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Parkfield and Oxbridge,E05001546,0.48802269384324437,0.5058363101491911,0.48802269384324437,0.34283158779487066,0.7161342497871069,0.6437276738810674,0,0.2953135886575021,No,5,1,1261,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Roseworth,E05001547,0.8117580024508847,0.8206725102835688,0.8296010677739878,0.8300822685514022,0.949345520110524,0.3638974531092673,0,0,No,1,1,858,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Stainsby Hill,E05001548,0.6141411220358588,0.6579363990157924,0.701731675995726,0.6907828567507426,0.701731675995726,0.027873954769583664,0,0,No,1,2,803,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Stockton Town Centre,E05001549,1,1,0.9606970205562968,0.9606970205562968,1,1,0,0,No,2,1,1508,3,1,Urban,Urban city and town
Cumbria and North East,00K,NHS Hartlepool and Stockton-on-Tees CCG,Priority,Village,E05001550,0.21447386637714316,0.24940686549545674,0.470818000976413,0.1704660550726116,0.6064610855673033,0.2357509272280799,0.05894838855410711,0,No,1,3,1051,3,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Ashington Central,E05009096,0.7798111761109031,0.7568949467478302,0.8033639674007282,0.7339787173847573,0.8476727843538097,0.8901508583318883,0,0,No,2,1,880,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Bedlington East,E05009099,0.6028056951423786,0.6028056951423786,0.7355522128184784,0.4782349246231155,0.5558885435951688,0.6256518337300537,0,0,No,1,1,762,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Choppington,E05009107,0.5716334828487528,0.628014779437865,0.852916088504523,0.7648848516140135,0.9062382350726601,0.03673454021319392,0,0,No,2,1,669,4,0,Rural,Rural town and fringe
Cumbria and North East,00L,NHS Northumberland CCG,Priority,College,E05009108,0.4674036281179138,0.4674036281179138,0.4674036281179138,0.4674036281179138,0.4674036281179138,0.7291219119226637,0,0,No,1,1,906,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Cowpen,E05009110,0.8046976163678303,0.6553913101619175,0.8495887983774808,0.880347571235945,0.6111620624714442,1,0,0,No,1,1,662,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Cramlington East,E05009111,0.4055211837828591,0.3625149683526258,0.5455033167968676,0.3252993670525175,0.5076310087244111,0.4366838683925415,0.3346743076542928,0,No,1,1,618,4,0.75,Urban,Urban conurbation
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Croft,E05009117,0.9421767643477194,0.8851456278139629,1,0.6990023349607302,0.9421767643477194,1,0,0,No,2,1,897,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Hirst,E05009126,1,1,1,0.9681749337372206,0.9551978915482573,1,0.05261165029195477,0,No,1,1,834,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Isabella,E05009129,0.8786443766420884,0.8869946605644545,0.9690333926603949,0.8432896855665734,0.7844393592677344,0.8334498686329349,0,0,No,1,1,845,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Kitty Brewster,E05009130,0.5055209513023783,0.5055209513023783,0.5055209513023783,0.5055209513023783,0.4084248524766048,0.9779597812481373,0,0,No,4,1,682,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Newbiggin Central and East,E05009137,0.6845163316582914,0.5714014149695847,0.9365715639601516,0.7096088997619676,0.6803011769373181,0.49074374063298937,0.5833498633518469,0,No,1,2,865,4,0,Rural,Rural town and fringe
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Newsham,E05009138,0.7170962030297069,0.699626204997049,0.7170962030297069,0.6334241071890823,0.5793382482371578,0.8384470422564378,0.04094660219306871,0,No,3,1,645,4,1,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Priority,Sleekburn,E05009152,0.4963311089761898,0.41638992028665645,0.7780996027315451,0.5280074260639264,0.7564601563108561,0.3604756835354296,0.26054514060187467,0,No,1,2,773,4,0.6666666666666666,Urban,Urban city and town
Cumbria and North East,00L,NHS Northumberland CCG,Exemplar,Norham and Islandshires,E05009139,0.060078194267890093,0,0,0,0,0,1,1,No,2,5,640,4,0,Rural,Rural village
Cumbria and North East,00M,NHS South Tees CCG,Priority,Berwick Hills & Pallister,E05009855,1,1,1,0.9681515256788836,1,0.9681515256788836,0,0,No,1,1,1043,4,1,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Brambles & Thorntree,E05009856,1,1,1,1,1,0.87909939190606,0,0,No,1,1,1120,4,1,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Central,E05009857,1,1,0.8630524488855703,0.9782295025974233,1,0.9775090552369454,0,0.11746826695473968,No,3,1,1693,4,1,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Coatham,E05012439,0.6227383217078842,0.5271771295709152,0.7032574743418117,0.27913114446088444,0.8446006247211066,0.6516316728903919,0,0.5431039949270767,No,3,2,1076,6,1,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Eston,E05012441,0.6404255399515006,0.6127242715659539,0.7078701850075165,0.5232815604390623,0.8032151571695134,0.37363170737234935,0.0385203175874234,0,No,1,1,1390,6,0.8,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Grangetown,E05012442,1,1,1,1,1,0.8851895706350279,0,0,No,1,1,859,6,1,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Hemlington,E05009859,0.7208646947183261,0.7319631532657501,0.8330319862981992,0.5543878165069666,0.8995727445262232,0.5315743183817062,0.07830579086238021,0,No,1,1,994,4,1,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Kirkleatham,E05012445,0.5172367538564722,0.5172367538564722,0.5644968053937661,0.5087927565392354,0.7777595396943062,0.43767199689364256,0.08441173355925022,0,No,1,2,1262,6,1,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Longlands & Beechwood,E05009863,0.8820805570113049,0.8673916298570038,0.8820805570113049,0.7025284027101893,0.9628696563599611,0.8668207681365576,0,0,No,1,1,1379,4,1,Urban,Urban city and town
Cumbria and North East,00M,NHS South Tees CCG,Priority,Park End & Beckfield,E05009870,0.9247145399925424,0.8406025088117969,0.9620976649617627,0.9060229775079324,0.9714434462040679,1,0,0,No,1,1,1192,4,1,Urban,Urban city and town
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Beacon and Bents,E05001135,0.7231449161515079,0.7326530960756856,0.8657519040950852,0.36032036613272306,0.8467860924211892,0.7792134294204036,0,0,No,2,2,1896,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Bede,E05001136,0.9582051986955862,1,1,0.7619132033975428,0.9850954610951008,0.2463972205369331,0.014904538904899114,0,No,1,1,1220,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Biddick and All Saints,E05001137,0.8782769082678916,0.8974403104647833,0.9229915133939722,0.7246504529642198,0.9229915133939722,0.38294636928007014,0,0,No,1,1,1497,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Cleadon Park,E05001140,0.465449354859719,0.6705981749368609,0.712099546267015,0.33612423744635883,0.5777565907067959,0.09036486789640125,0,0,No,1,2,1160,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Hebburn North,E05001143,0.2865036884329748,0.45692264225925827,0.4981703757979185,0.13508730533270408,0.6780910806984426,0.29821756786965053,0,0,No,2,1,1308,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Hebburn South,E05001144,0.39205169483444297,0.4463413676469763,0.5678433000330946,0.1675903229244378,0.7000614212713923,0.10634237731171155,0,0,No,1,2,1284,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Monkton,E05001146,0.5581996475905922,0.5820079675170459,0.7056898797211368,0.3640438979544931,0.7696311192829235,0.04805753466636021,0.20771470160116448,0,No,1,2,1321,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Primrose,E05001147,0.6229632411777194,0.7537863818715264,0.8959520660167328,0.4669129774482747,0.7593023825464996,0.2717134521068417,0,0,No,1,1,1460,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Simonside and Rekendyke,E05001148,0.897641282372196,0.8857947434292867,0.9680225281602003,0.659992247394263,0.9363964571098489,0.8851438792417647,0.0461282574878517,0,No,1,1,2065,1,1,Urban,Urban conurbation
Cumbria and North East,00N,NHS South Tyneside CCG,Priority,Whiteleas,E05001152,0.6642633343270324,0.6741493225608235,0.7360156112162268,0.5101898776533288,0.8555542711825223,0.43469267319263366,0,0,No,1,2,1364,1,1,Urban,Urban conurbation
Cumbria and North East,00P,NHS Sunderland CCG,Priority,Hendon,E05001158,0.9540529242088541,0.9115319175619747,0.9550401321015008,0.5410001672170895,0.9426453743572593,0.9597566991346516,0,0,No,1,1,2519,2,1,Urban,Urban conurbation
Cumbria and North East,00P,NHS Sunderland CCG,Priority,Redhill,E05001163,0.824405518924373,0.861031982542178,0.9354572119107398,0.8299511931858178,0.9159154797381327,0.6829244198324612,0,0,No,1,1,1704,2,1,Urban,Urban conurbation
Cumbria and North East,00P,NHS Sunderland CCG,Priority,Southwick,E05001172,0.7518489251722593,0.7612981483065989,0.8287324532043506,0.7026081748312639,0.8798158372885451,0.7119371058419693,0,0,No,1,1,1911,2,1,Urban,Urban conurbation
